G_theta,T,V_oc,I_sc
120,27,89.74,2.341248
156,27,89.74,3.0436224
191,27,89.74,3.7264864
224,27,89.74,4.3703296
258,27,89.74,5.0336832
292,27,89.74,5.6970368
323,27,89.74,6.3018592
354,27,89.74,6.9066816
386,27,89.74,7.5310144
425,27,89.74,8.29192
467,27,89.74,9.1113568
526,27,89.74,10.2624704
610,27,89.74,11.901344
661,27,89.74,12.8963744
693,28,89.14,14.2450308
686,28,89.14,14.1011416
753,29,88.54,16.2654024
780,29,88.54,16.848624
805,29,88.54,17.388644
829,30,87.94,18.773534
851,30,87.94,19.271746
870,30,87.94,19.70202
886,30,87.94,20.064356
899,30,87.94,20.358754
909,30,87.94,20.585214
918,30,87.94,20.789028
924,30,87.94,20.924904
928,30,87.94,21.015488
931,30,87.94,21.083426
933,30,87.94,21.128718
934,30,87.94,21.151364
931,30,87.94,21.083426
927,31,87.34,21.9617424
921,31,87.34,21.8195952
912,31,87.34,21.6063744
901,31,87.34,21.3457712
888,31,87.34,21.0377856
873,31,87.34,20.6824176
856,31,87.34,20.2796672
837,31,87.34,19.8295344
815,31,87.34,19.308328
791,31,87.34,18.7397392
765,31,87.34,18.123768
738,31,87.34,17.4841056
709,31,87.34,16.7970608
679,30,87.94,15.376634
647,30,87.94,14.651962
614,30,87.94,13.904644
579,30,87.94,13.112034
543,30,87.94,12.296778
505,30,87.94,11.43623
466,30,87.94,10.553036
426,30,87.94,9.647196
385,30,87.94,8.71871
345,30,87.94,7.81287
304,30,87.94,6.884384
263,30,87.94,5.955898
224,29,88.54,4.8385792
185,29,88.54,3.996148
149,29,88.54,3.2185192
115,29,88.54,2.484092
128,26,90.34,2.3635456
172,26,90.34,3.1760144
204,26,90.34,3.7669008
224,26,90.34,4.1362048
252,26,90.34,4.6532304
272,26,90.34,5.0225344
296,26,90.34,5.4656992
345,26,90.34,6.370494
387,26,90.34,7.1460324
442,26,90.34,8.1616184
519,26,90.34,9.5834388
543,26,90.34,10.0266036
538,26,90.34,9.9342776
603,27,89.74,11.7647712
622,27,89.74,12.1354688
609,27,89.74,11.8818336
638,28,89.14,13.1144728
656,28,89.14,13.4844736
520,28,89.14,10.688912
504,29,88.54,10.8868032
585,29,88.54,12.636468
795,29,88.54,17.172636
786,29,88.54,16.9782288
694,30,87.94,15.716324
790,30,87.94,17.89034
774,30,87.94,17.528004
806,30,87.94,18.252676
884,30,87.94,20.019064
880,30,87.94,19.92848
881,30,87.94,19.951126
833,30,87.94,18.864118
843,30,87.94,19.090578
851,30,87.94,19.271746
817,30,87.94,18.501782
744,30,87.94,16.848624
698,30,87.94,15.806908
662,30,87.94,14.991652
644,30,87.94,14.584024
607,30,87.94,13.746122
587,30,87.94,13.293202
575,30,87.94,13.02145
556,30,87.94,12.591176
518,30,87.94,11.730628
471,30,87.94,10.666266
430,30,87.94,9.73778
398,30,87.94,9.013108
408,30,87.94,9.239568
450,30,87.94,10.1907
518,30,87.94,11.730628
509,30,87.94,11.526814
445,30,87.94,10.07747
415,30,87.94,9.39809
406,30,87.94,9.194276
365,29,88.54,7.884292
324,29,88.54,6.9986592
283,29,88.54,6.1130264
243,29,88.54,5.2489944
198,29,88.54,4.2769584
124,29,88.54,2.6784992
106,29,88.54,2.2896848
109,27,89.74,2.1266336
143,27,89.74,2.7899872
180,27,89.74,3.511872
218,27,89.74,4.2532672
258,27,89.74,5.0336832
298,27,89.74,5.8140992
339,27,89.74,6.6140256
379,27,89.74,7.3944416
419,27,89.74,8.1748576
458,27,89.74,8.9357632
497,27,89.74,9.6966688
535,27,89.74,10.438064
571,27,89.74,11.1404384
607,28,89.14,12.4772492
641,28,89.14,13.1761396
674,28,89.14,13.8544744
705,28,89.14,14.491698
735,29,88.54,15.876588
762,29,88.54,16.4598096
788,29,88.54,17.0214304
812,29,88.54,17.5398496
834,30,87.94,18.886764
854,30,87.94,19.339684
871,30,87.94,19.724666
883,30,87.94,19.996418
894,30,87.94,20.245524
902,30,87.94,20.426692
908,30,87.94,20.562568
912,30,87.94,20.653152
915,30,87.94,20.72109
917,30,87.94,20.766382
917,30,87.94,20.766382
915,30,87.94,20.72109
910,30,87.94,20.60786
904,30,87.94,20.471984
895,30,87.94,20.26817
884,31,87.34,20.9430208
871,31,87.34,20.6350352
857,31,87.34,20.3033584
840,31,87.34,19.900608
821,31,87.34,19.4504752
799,31,87.34,18.9292688
773,31,87.34,18.3132976
746,31,87.34,17.6736352
717,30,87.94,16.237182
687,30,87.94,15.557802
655,30,87.94,14.83313
623,30,87.94,14.108458
590,30,87.94,13.36114
555,30,87.94,12.56853
520,30,87.94,11.77592
482,30,87.94,10.915372
444,30,87.94,10.054824
406,30,87.94,9.194276
367,29,88.54,7.9274936
329,29,88.54,7.1066632
290,29,88.54,6.264232
251,29,88.54,5.4218008
214,29,88.54,4.6225712
178,29,88.54,3.8449424
143,29,88.54,3.0889144
111,29,88.54,2.3976888
114,26,90.34,2.1050328
145,26,90.34,2.677454
177,26,90.34,3.2683404
208,26,90.34,3.8407616
242,27,89.74,4.7215168
271,27,89.74,5.2873184
303,27,89.74,5.9116512
340,27,89.74,6.633536
372,27,89.74,7.2578688
409,27,89.74,7.9797536
462,27,89.74,9.0138048
525,27,89.74,10.24296
561,27,89.74,10.9453344
631,27,89.74,12.3110624
663,28,89.14,13.6283628
694,28,89.14,14.2655864
723,28,89.14,14.8616988
750,29,88.54,16.2006
776,29,88.54,16.7622208
799,29,88.54,17.2590392
821,29,88.54,17.7342568
841,29,88.54,18.1662728
859,29,88.54,18.5550872
874,29,88.54,18.8790992
887,30,87.94,20.087002
897,30,87.94,20.313462
906,30,87.94,20.517276
913,30,87.94,20.675798
917,30,87.94,20.766382
919,30,87.94,20.811674
919,30,87.94,20.811674
917,30,87.94,20.766382
912,30,87.94,20.653152
906,30,87.94,20.517276
897,30,87.94,20.313462
886,30,87.94,20.064356
873,30,87.94,19.769958
857,30,87.94,19.407622
840,30,87.94,19.02264
821,30,87.94,18.592366
800,30,87.94,18.1168
778,30,87.94,17.618588
754,30,87.94,17.075084
728,30,87.94,16.486288
700,29,88.54,15.12056
671,29,88.54,14.4941368
640,29,88.54,13.824512
607,29,88.54,13.1116856
572,29,88.54,12.3556576
536,29,88.54,11.5780288
499,29,88.54,10.7787992
461,29,88.54,9.9579688
422,29,88.54,9.1155376
382,29,88.54,8.2515056
342,29,88.54,7.3874736
302,29,88.54,6.5234416
263,29,88.54,5.6810104
223,29,88.54,4.8169784
186,29,88.54,4.0177488
150,28,89.14,3.08334
116,28,89.14,2.3844496
116,26,90.34,2.1419632
153,26,90.34,2.8251756
196,26,90.34,3.6191792
237,27,89.74,4.6239648
267,27,89.74,5.2092768
292,27,89.74,5.6970368
313,27,89.74,6.1067552
328,27,89.74,6.3994112
343,27,89.74,6.6920672
373,27,89.74,7.2773792
420,27,89.74,8.194368
475,27,89.74,9.26744
538,27,89.74,10.4965952
590,27,89.74,11.511136
639,28,89.14,13.1350284
669,28,89.14,13.7516964
698,28,89.14,14.3478088
726,28,89.14,14.9233656
752,29,88.54,16.2438016
776,29,88.54,16.7622208
798,29,88.54,17.2374384
818,29,88.54,17.6694544
837,29,88.54,18.0798696
819,29,88.54,17.6910552
853,30,87.94,19.317038
886,30,87.94,20.064356
898,30,87.94,20.336108
908,30,87.94,20.562568
914,30,87.94,20.698444
917,30,87.94,20.766382
918,30,87.94,20.789028
916,30,87.94,20.743736
912,30,87.94,20.653152
906,30,87.94,20.517276
898,30,87.94,20.336108
888,30,87.94,20.109648
876,30,87.94,19.837896
861,30,87.94,19.498206
844,30,87.94,19.113224
826,30,87.94,18.705596
802,30,87.94,18.162092
773,30,87.94,17.505358
742,30,87.94,16.803332
710,30,87.94,16.07866
677,30,87.94,15.331342
642,30,87.94,14.538732
608,29,88.54,13.1332864
576,29,88.54,12.4420608
542,29,88.54,11.7076336
507,29,88.54,10.9516056
471,29,88.54,10.1739768
434,29,88.54,9.3747472
397,29,88.54,8.5755176
359,29,88.54,7.7546872
321,29,88.54,6.9338568
283,29,88.54,6.1130264
245,29,88.54,5.292196
209,29,88.54,4.5145672
173,29,88.54,3.7369384
139,29,88.54,3.0025112
108,29,88.54,2.3328864
113,27,89.74,2.2046752
158,27,89.74,3.0826432
204,27,89.74,3.9801216
241,27,89.74,4.7020064
279,27,89.74,5.4434016
284,27,89.74,5.5409536
301,27,89.74,5.8726304
337,27,89.74,6.5750048
382,27,89.74,7.4529728
428,27,89.74,8.3504512
461,27,89.74,8.9942944
430,27,89.74,8.389472
435,27,89.74,8.487024
441,27,89.74,8.6040864
481,27,89.74,9.3845024
532,28,89.14,10.9355792
565,28,89.14,11.613914
603,28,89.14,12.3950268
635,29,88.54,13.716508
645,29,88.54,13.932516
708,29,88.54,15.2933664
726,29,88.54,15.6821808
712,29,88.54,15.3797696
775,29,88.54,16.74062
778,30,87.94,17.618588
779,30,87.94,17.641234
771,30,87.94,17.460066
